revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position,revision_count,revision_history
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,82,AE125,ENLARGED FLOOR PLANS,"912.1,1822.9",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,91,AE302,STAIR SECTIONS,"1761.5,442.8",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,93,AE401,PLAN DETAILS,"1761.5,477.3",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,94,AE402,PLAN DETAILS,"1761.5,494.6",1,REVISION #1 (10/10/2025)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,105,AE600,INTERIOR PARTITION DETAILS,"1791.5,684.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,107,AE602,"DOOR SCHEDULE, DOOR & FRAME AND INTERIOR WINDOW TYPES","1791.5,718.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,108,AE603,"CURTAINWALL, EXTERIOR WINDOW AND LOUVER TYPES","1761.5,736.1",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,109,AE611,DOOR DETAILS,"1761.5,753.3",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,110,AE612,DOOR AND WINDOW DETAILS,"1761.5,770.6",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,113,QH103,5TH FLOOR EQUIPMENT PLAN,"1761.5,822.3",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,119,IN101,3RD FLOOR FINISH & WALL PROTECTION PLAN,"1761.5,943.1",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,120,IN102,4TH FLOOR FINISH & WALL PROTECTION PLAN,"1761.5,960.3",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,121,IN103,5TH FLOOR FINISH & WALL PROTECTION PLAN,"1761.5,977.6",1,REVISION #1 (10/10/2025)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,126,IN205,INTERIOR ELEVATIONS,"1791.5,1064.5",1,REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,132,IN602,FINISH SCHEDULES,"1791.5,1168.5",1,REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,141,PL104,3RD FLOOR - PLUMBING,"1791.5,1356.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,142,PL105,4TH FLOOR - PLUMBING,"1791.5,1374.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,146,PL202,EXISTING PLAN 2ND FLOOR - SANITARY,"1791.5,1443.5",1,REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,147,PL203,3RD FLOOR - SANITARY,"1791.5,1461.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,148,PL204,4TH FLOOR - SANITARY,"1791.5,1477.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,160,PL403,ENLARGED PLANS - PLUMBING,"1791.5,1685.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,164,PL505,OVERALL SANITARY RISER,"1791.5,1754.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,165,PL506,OVERALL WATER RISER,"1791.5,1770.5",2,REVISION #1 (10/10/2025) -> REVISION #2 (01/30/2026)
REVISION #2,01/30/2026,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,167,PL508,PLUMBING RISERS,"1791.5,1805.5",1,REVISION #2 (01/30/2026)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,168,PL509,PLUMBING RISERS,"1761.5,1822.9",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,171,PL601,SCHEDULES - PLUMBING,"2608.9,356.5",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,177,MH104,ATTIC - HVAC,"2608.9,477.3",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,200,MP102,3RD FLOOR - HVAC PIPING,"2608.9,874.1",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,201,MP103,4TH FLOOR - HVAC PIPING,"2608.9,891.3",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,202,MP104,5TH FLOOR - HVAC PIPING,"2608.9,908.6",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,203,MP105,ATTIC - HVAC PIPING,"2608.9,925.8",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,205,E001,LEGENDS - ELECTRICAL,"2608.9,977.6",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,210,EL104,ATTIC PLAN - LIGHTING,"2608.9,1063.8",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,216,EP104,ATTIC PLAN - POWER,"2608.9,1167.3",1,REVISION #1 (10/10/2025)
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,260309 - Drawing Rev2- Steel Grab Bars.pdf,3,222,FA104,ATTIC PLAN - FIRE ALARM,"2608.9,1270.8",1,REVISION #1 (10/10/2025)
