revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,42,AD105,DEMOLITION - ATTIC & ROOF PLAN,"912.1,1132.8"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,44,AD203,DEMOLITION - EXTERIOR ELEVATIONS,"2608.9,1167.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,50,AD501,DEMOLITION - DETAILS,"2608.9,1270.8"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,55,AD701,EXISTING CONDITIONS - PHOTOGRAPHS,"1761.5,1357.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,56,AD702,EXISTING CONDITIONS - PHOTOGRAPHS,"1761.5,1374.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,61,AE102,2ND FLOOR PLAN - SHELL,"1761.5,1460.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,62,AE103,3RD FLOOR PLAN - SHELL,"912.1,1477.9"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,63,AE104,4TH & 5TH FLOOR PLAN - SHELL,"912.1,1495.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,64,AE105,ATTIC & ROOF PLAN - SHELL,"912.1,1512.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,68,AE107.2,3RD FLOOR ENLARGED DIMENSION PLANS,"912.1,1581.3"
