revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,56,AD702,EXISTING CONDITIONS - PHOTOGRAPHS,"1761.5,1339.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,61,AE102,2ND FLOOR PLAN - SHELL,"1761.5,1426.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,62,AE103,3RD FLOOR PLAN - SHELL,"912.1,1443.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,63,AE104,4TH & 5TH FLOOR PLAN - SHELL,"912.1,1460.6"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,64,AE105,ATTIC & ROOF PLAN - SHELL,"912.1,1477.9"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,68,AE107.2,3RD FLOOR ENLARGED DIMENSION PLANS,"912.1,1546.9"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,71,AE108.2,4TH FLOOR ENLARGED DIMENSION PLANS,"912.1,1598.6"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,72,AE109,5TH FLOOR PLAN - BUILDOUT,"912.1,1615.9"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,73,AE109.1,5TH FLOOR DIMENSION PLAN,"912.1,1633.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,74,AE110,ATTIC FLOOR PLAN - BUILDOUT,"912.1,1650.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,77,AE113,5TH FLOOR & ATTIC REFLECTED CEILING PLAN,"912.1,1702.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,78,AE121,ENLARGED FLOOR PLANS,"1761.5,1719.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,79,AE122,ENLARGED FLOOR PLANS,"912.1,1736.6"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,80,AE123,ENLARGED FLOOR PLANS,"912.1,1753.9"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,82,AE125,ENLARGED FLOOR PLANS,"912.1,1788.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,85,AE202,EXTERIOR ELEVATIONS,"1761.5,1840.1"
