epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0374,1.64905,3.43345,1.62203,0.00443,0.94318,0.30325,0.16218,1.4883,3.49075,1.35894,0.00062,0.00062,0.00062
2,22.7545,1.46737,2.62687,1.49688,0.50493,0.17967,0.23676,0.1172,1.45716,3.15204,1.70145,0.00123505,0.00123505,0.00123505
3,28.1511,1.50325,2.53144,1.53418,0.16119,0.20637,0.08087,0.02859,2.02648,5.79803,2.29121,0.00182476,0.00182476,0.00182476
4,33.6936,1.5014,2.28769,1.48331,0.05247,0.19318,0.02801,0.01061,2.25215,6.00367,2.38868,0.0018812,0.0018812,0.0018812
5,38.8821,1.46839,2.05896,1.46621,0.54389,0.47727,0.48874,0.26421,1.54128,3.21452,1.60392,0.0018416,0.0018416,0.0018416
6,44.3532,1.46995,2.00534,1.49573,0.62689,0.61099,0.56685,0.30453,1.46157,1.91255,1.54663,0.001802,0.001802,0.001802
7,49.7747,1.36003,1.70584,1.41754,0.59854,0.64205,0.66903,0.37792,1.44368,1.58186,1.5197,0.0017624,0.0017624,0.0017624
8,55.3069,1.32606,1.66635,1.43491,0.65933,0.67045,0.70536,0.42425,1.27107,1.58872,1.37821,0.0017228,0.0017228,0.0017228
9,60.5813,1.29996,1.54285,1.36662,0.74683,0.69886,0.72226,0.47559,1.22372,1.25248,1.32069,0.0016832,0.0016832,0.0016832
10,65.9719,1.26076,1.50556,1.38692,0.62802,0.70987,0.68898,0.46253,1.17542,1.76186,1.30076,0.0016436,0.0016436,0.0016436
11,71.4515,1.34506,1.62467,1.43446,0.66392,0.70713,0.6918,0.44661,1.22335,1.44098,1.33608,0.001604,0.001604,0.001604
12,76.9448,1.23899,1.47145,1.36261,0.76417,0.64205,0.73779,0.48164,1.12749,1.32555,1.27257,0.0015644,0.0015644,0.0015644
13,82.2583,1.21621,1.36864,1.34002,0.80191,0.75,0.81293,0.52941,1.16156,1.2601,1.29888,0.0015248,0.0015248,0.0015248
14,87.6243,1.22765,1.33561,1.33142,0.78961,0.68237,0.77089,0.52048,1.16585,1.23158,1.2556,0.0014852,0.0014852,0.0014852
15,93.175,1.1963,1.33133,1.31521,0.8559,0.74246,0.85484,0.57861,1.00809,1.04772,1.18583,0.0014456,0.0014456,0.0014456
16,98.9042,1.12096,1.24982,1.26917,0.64384,0.63636,0.67182,0.43594,1.17713,1.37606,1.27406,0.001406,0.001406,0.001406
17,104.366,1.05669,1.20237,1.24275,0.72523,0.73486,0.80164,0.50548,1.12765,1.53732,1.24913,0.0013664,0.0013664,0.0013664
18,109.85,1.20056,1.25485,1.31349,0.81399,0.84537,0.8626,0.59062,0.99807,0.97971,1.16212,0.0013268,0.0013268,0.0013268
19,115.11,1.06873,1.18573,1.24376,0.84035,0.79545,0.86712,0.6339,0.95106,0.98144,1.12538,0.0012872,0.0012872,0.0012872
20,120.706,1.06367,1.1322,1.23717,0.87262,0.77844,0.84985,0.59377,1.02379,1.04317,1.15466,0.0012476,0.0012476,0.0012476
21,126.112,1.07395,1.13284,1.24357,0.85404,0.83523,0.86886,0.59402,1.04564,0.9617,1.20109,0.001208,0.001208,0.001208
22,131.482,1.05473,1.11201,1.25384,0.85091,0.80114,0.86834,0.62711,0.94531,0.97444,1.15767,0.0011684,0.0011684,0.0011684
23,136.847,0.97817,1.06614,1.2013,0.86752,0.77273,0.87756,0.61722,0.91462,0.9374,1.1306,0.0011288,0.0011288,0.0011288
24,142.125,0.96554,1.0134,1.17763,0.87466,0.8125,0.86601,0.61878,0.95191,0.97922,1.16848,0.0010892,0.0010892,0.0010892
25,147.725,1.04374,1.07473,1.23305,0.85851,0.86188,0.89942,0.64898,0.93056,0.86366,1.13483,0.0010496,0.0010496,0.0010496
26,153.183,1.0434,1.06141,1.23232,0.90304,0.85795,0.92044,0.65737,0.91495,0.81313,1.11535,0.00101,0.00101,0.00101
27,158.746,0.98551,1.02811,1.19844,0.89394,0.84091,0.90635,0.64057,0.95496,0.85322,1.13982,0.0009704,0.0009704,0.0009704
28,164.239,0.99183,0.9788,1.18054,0.83245,0.84689,0.90263,0.67159,0.88567,0.77926,1.1031,0.0009308,0.0009308,0.0009308
29,169.641,0.97411,1.00587,1.18712,0.88801,0.84659,0.90052,0.66475,0.91389,0.82745,1.11034,0.0008912,0.0008912,0.0008912
